harpnum,timestamp,goes_class
1,2010-05-01 00:00:00,C5.7
1,2010-05-01 12:00:00,B3.8
1,2010-05-02 00:00:00,B3.8
1,2010-05-02 12:00:00,
1,2010-05-03 00:00:00,
1,2010-05-03 12:00:00,
1,2010-05-04 00:00:00,
2,2010-05-01 00:00:00,B1.6
8,2010-05-02 00:00:00,
8,2010-05-02 12:00:00,
8,2010-05-03 00:00:00,
8,2010-05-03 12:00:00,B2.0
8,2010-05-04 00:00:00,C3.6
8,2010-05-04 12:00:00,C8.8
8,2010-05-05 00:00:00,M1.2
8,2010-05-05 12:00:00,M1.2
8,2010-05-06 00:00:00,
8,2010-05-06 12:00:00,C2.0
8,2010-05-07 00:00:00,C2.0
8,2010-05-07 12:00:00,C9.3
8,2010-05-08 00:00:00,C9.3
11,2010-05-03 00:00:00,B2.0
12,2010-05-03 00:00:00,
12,2010-05-03 12:00:00,B1.7
12,2010-05-04 00:00:00,B1.7
26,2010-05-20 00:00:00,
26,2010-05-20 12:00:00,
26,2010-05-21 00:00:00,
26,2010-05-21 12:00:00,
40,2010-05-28 00:00:00,
43,2010-05-31 00:00:00,
45,2010-06-02 00:00:00,
49,2010-06-08 00:00:00,
49,2010-06-08 12:00:00,
51,2010-06-10 00:00:00,
51,2010-06-10 12:00:00,
51,2010-06-11 00:00:00,
54,2010-06-11 00:00:00,B4.5
54,2010-06-11 12:00:00,M2.0
54,2010-06-12 00:00:00,M2.0
54,2010-06-12 12:00:00,C1.7
54,2010-06-13 00:00:00,C1.7
54,2010-06-13 12:00:00,C1.5
54,2010-06-14 00:00:00,C1.5
57,2010-06-14 00:00:00,
57,2010-06-14 12:00:00,
57,2010-06-15 00:00:00,
57,2010-06-15 12:00:00,
57,2010-06-16 00:00:00,
57,2010-06-16 12:00:00,B5.0
57,2010-06-17 00:00:00,B5.0
57,2010-06-17 12:00:00,B1.8
57,2010-06-18 00:00:00,B1.8
71,2010-06-25 00:00:00,
86,2010-07-08 00:00:00,C1.2
86,2010-07-08 12:00:00,C1.8
86,2010-07-09 00:00:00,C3.4
86,2010-07-09 12:00:00,C3.4
86,2010-07-10 00:00:00,B7.2
86,2010-07-10 12:00:00,B7.2
86,2010-07-11 00:00:00,B4.5
86,2010-07-11 12:00:00,B4.5
86,2010-07-12 00:00:00,B4.0
86,2010-07-12 12:00:00,C2.6
86,2010-07-13 00:00:00,C2.6
86,2010-07-13 12:00:00,
86,2010-07-14 00:00:00,
86,2010-07-14 12:00:00,
86,2010-07-15 00:00:00,
86,2010-07-15 12:00:00,B3.1
86,2010-07-16 00:00:00,B3.1
86,2010-07-16 12:00:00,B1.4
86,2010-07-17 00:00:00,C2.4
86,2010-07-17 12:00:00,C2.4
