DEF_HARPNUM,Minimum,Maximum
4589,2014-09-20 04:48:00,2014-09-23 16:48:00
504,2011-04-11 21:48:00,2011-04-26 04:12:00
824,2011-08-27 14:36:00,2011-09-08 05:36:00
2061,2012-09-24 11:48:00,2012-10-05 17:00:00
409,2011-03-06 01:48:00,2011-03-15 05:24:00
4510,2014-08-28 22:48:00,2014-09-08 03:00:00
6224,2016-01-01 08:12:00,2016-01-10 15:36:00
12,2010-05-03 05:12:00,2010-05-13 12:00:00
2016,2012-09-05 03:24:00,2012-09-05 04:12:00
853,2011-09-10 20:48:00,2011-09-22 00:24:00
1030,2011-11-01 07:24:00,2011-11-02 15:24:00
3704,2014-02-01 09:36:00,2014-02-03 05:12:00
5275,2015-03-02 03:00:00,2015-03-14 20:00:00
3773,2014-02-17 15:24:00,2014-02-21 19:12:00
2892,2013-06-23 12:00:00,2013-06-24 13:24:00
2906,2013-06-27 04:12:00,2013-07-04 08:00:00
6663,2016-07-07 06:48:00,2016-07-10 18:36:00
2426,2013-01-26 23:24:00,2013-02-02 03:12:00
6780,2016-09-27 15:48:00,2016-10-07 15:12:00
6614,2016-06-09 19:12:00,2016-06-17 06:24:00
3239,2013-09-27 15:24:00,2013-09-28 05:36:00
1957,2012-08-21 18:00:00,2012-08-24 09:24:00
1594,2012-04-19 04:48:00,2012-04-21 21:36:00
5632,2015-05-29 04:36:00,2015-05-31 21:00:00
3334,2013-10-31 12:00:00,2013-11-11 21:48:00
7092,2017-07-21 06:48:00,2017-07-21 11:24:00
1400,2012-02-12 15:36:00,2012-02-13 16:48:00
1477,2012-03-15 10:12:00,2012-03-17 22:36:00
3343,2013-11-02 07:36:00,2013-11-06 00:36:00
7171,2017-10-22 11:36:00,2017-11-03 05:24:00
6713,2016-08-17 08:00:00,2016-08-17 08:00:00
6687,2016-07-26 05:12:00,2016-08-04 02:12:00
2898,2013-06-24 18:12:00,2013-07-02 19:24:00
2556,2013-03-09 19:48:00,2013-03-13 18:48:00
4050,2014-04-20 10:00:00,2014-04-25 22:12:00
6764,2016-09-18 04:00:00,2016-09-25 17:24:00
2876,2013-06-18 20:48:00,2013-06-19 06:00:00
2801,2013-05-28 07:48:00,2013-05-31 17:36:00
2995,2013-07-20 16:36:00,2013-07-30 20:12:00
